"USER_ID","Predictions"
2,"Democrat"
3,"Republican"
6,"Democrat"
7,"Democrat"
14,"Democrat"
28,"Democrat"
29,"Democrat"
37,"Republican"
44,"Democrat"
56,"Republican"
62,"Democrat"
68,"Democrat"
72,"Republican"
74,"Democrat"
80,"Democrat"
81,"Democrat"
87,"Democrat"
92,"Democrat"
96,"Republican"
100,"Republican"
104,"Republican"
105,"Republican"
108,"Democrat"
124,"Democrat"
125,"Democrat"
127,"Republican"
128,"Democrat"
129,"Republican"
130,"Democrat"
139,"Republican"
149,"Republican"
151,"Republican"
154,"Republican"
158,"Republican"
159,"Democrat"
168,"Democrat"
177,"Democrat"
185,"Democrat"
192,"Republican"
195,"Republican"
198,"Democrat"
208,"Democrat"
209,"Democrat"
213,"Democrat"
225,"Democrat"
229,"Democrat"
231,"Democrat"
236,"Republican"
238,"Republican"
239,"Republican"
240,"Democrat"
244,"Democrat"
259,"Democrat"
260,"Democrat"
264,"Republican"
267,"Republican"
268,"Democrat"
271,"Democrat"
272,"Democrat"
274,"Democrat"
285,"Republican"
286,"Democrat"
296,"Democrat"
308,"Republican"
310,"Republican"
318,"Democrat"
333,"Democrat"
340,"Democrat"
342,"Democrat"
343,"Republican"
344,"Republican"
345,"Democrat"
346,"Democrat"
352,"Democrat"
354,"Republican"
357,"Republican"
366,"Republican"
369,"Republican"
380,"Democrat"
389,"Republican"
391,"Republican"
394,"Democrat"
396,"Republican"
404,"Democrat"
407,"Republican"
422,"Democrat"
426,"Republican"
428,"Democrat"
429,"Democrat"
438,"Republican"
452,"Democrat"
462,"Republican"
469,"Republican"
480,"Republican"
488,"Democrat"
489,"Democrat"
492,"Republican"
498,"Republican"
505,"Democrat"
508,"Democrat"
510,"Democrat"
511,"Republican"
512,"Democrat"
518,"Republican"
519,"Democrat"
522,"Republican"
523,"Democrat"
528,"Republican"
530,"Democrat"
543,"Republican"
549,"Democrat"
553,"Democrat"
556,"Democrat"
558,"Democrat"
562,"Democrat"
563,"Democrat"
565,"Republican"
567,"Republican"
571,"Republican"
572,"Democrat"
581,"Republican"
584,"Republican"
600,"Republican"
611,"Democrat"
617,"Democrat"
635,"Democrat"
642,"Republican"
646,"Republican"
648,"Democrat"
651,"Democrat"
659,"Democrat"
